fixture_id,group,round,home,away,market_fixture_id,market_slug,orientation,join_strategy,model_home,model_draw,model_away,market_home,market_draw,market_away,delta_home,delta_draw,delta_away,abs_delta_total,confidence,comparison_status
G-B-1-2,B,1,Qatar,Switzerland,G-B-1-2,fifwc-qat-che-2026-06-13,same,fixture_id,0.2586490119652995,0.2484288437590119,0.4929221442756885,0.0634441087613293,0.1359516616314199,0.8006042296072508,-0.1952049032039702,-0.112477182127592,0.30768208533156227,0.6153641706631244,high,matched
G-E-1-1,E,1,Germany,Curaçao,G-E-1-1,fifwc-ger-kor-2026-06-14,same,fixture_id,0.652928414770817,0.201108616483147,0.1459629687460359,0.9346959122632104,0.0428713858424725,0.022432701894317,0.2817674974923934,-0.15823723064067452,-0.12353026685171889,0.5635349949847868,high,matched
G-I-1-2,I,1,Iraq,Norway,G-I-1-2,fifwc-irq-nor-2026-06-16,same,fixture_id,0.235937589425234,0.2422392304694468,0.521823180105319,0.0646766169154228,0.1343283582089552,0.8009950248756218,-0.1712609725098112,-0.10791087226049159,0.27917184477030277,0.5583436895406055,high,matched
G-J-1-2,J,1,Austria,Jordan,G-J-1-2,fifwc-aut-jor-2026-06-17,same,fixture_id,0.4704555320287342,0.2524481643444181,0.2770963036268477,0.7386934673366834,0.1658291457286432,0.0954773869346733,0.2682379353079492,-0.08661901861577487,-0.1816189166921744,0.5364758706158985,high,matched
G-K-1-1,K,1,Portugal,DR Congo,G-K-1-1,fifwc-prt-cdr-2026-06-17,same,fixture_id,0.5593460951563368,0.2325791699368918,0.2080747349067714,0.7611940298507462,0.1641791044776119,0.0746268656716418,0.20184793469440943,-0.0684000654592799,-0.13344786923512958,0.4036958693888189,high,matched
G-H-1-1,H,1,Spain,Cape Verde,G-H-1-1,fifwc-esp-cvi-2026-06-15,same,fixture_id,0.7128538550001746,0.1758332400415012,0.1113129049583242,0.905,0.0655,0.0295,0.1921461449998254,-0.11033324004150119,-0.0818129049583242,0.3842922899996508,high,matched
G-I-1-1,I,1,France,Senegal,G-I-1-1,fifwc-fra-sen-2026-06-16,same,fixture_id,0.4779322995356528,0.2511896340187661,0.270878066445581,0.6616915422885572,0.2139303482587064,0.1243781094527363,0.1837592427529044,-0.037259285760059685,-0.14649995699284468,0.3675184855058088,high,matched
G-A-1-1,A,1,Mexico,South Africa,G-A-1-1,fifwc-mex-rsa-2026-06-11,same,fixture_id,0.5143050622359694,0.2439567878995661,0.2417381498644644,0.691542288557214,0.2039800995024876,0.1044776119402985,0.1772372263212446,-0.03997668839707849,-0.1372605379241659,0.354474452642489,high,matched
G-H-1-2,H,1,Saudi Arabia,Uruguay,G-H-1-2,fifwc-ksa-ury-2026-06-15,same,fixture_id,0.253560223463347,0.2471648944780082,0.4992748820586447,0.1133004926108374,0.2118226600985221,0.6748768472906403,-0.1402597308525096,-0.03534223437948611,0.17560196523199567,0.35120393046399134,high,matched
G-G-1-1,G,1,Belgium,Egypt,G-G-1-1,fifwc-bel-egy-2026-06-15,same,fixture_id,0.4327808892244901,0.2575397492706531,0.3096793615048566,0.582089552238806,0.2437810945273632,0.1741293532338308,0.1493086630143159,-0.013758654743289883,-0.13555000827102578,0.29861732602863156,high,matched
G-B-1-1,B,1,Canada,Bosnia,G-B-1-1,fifwc-can-bih-2026-06-12,same,fixture_id,0.3913772912813197,0.2605717225245885,0.3480509861940918,0.5323383084577115,0.2636815920398009,0.2039800995024875,0.14096101717639176,0.0031098695152124156,-0.1440708866916043,0.28814177338320845,high,matched
G-L-1-1,L,1,England,Croatia,G-L-1-1,fifwc-eng-hrv-2026-06-17,same,fixture_id,0.4339138399919496,0.2574180141690693,0.3086681458389811,0.5621890547263682,0.2537313432835821,0.1840796019900497,0.12827521473441855,-0.0036866708854871866,-0.12458854384893142,0.25655042946883716,high,matched
G-D-1-2,D,1,Australia,Türkiye,G-D-1-2,fifwc-aus-tur-2026-06-14,same,fixture_id,0.2961508648393947,0.2557229457886207,0.4481261893719846,0.1758793969849246,0.2562814070351759,0.5678391959798995,-0.12027146785447007,0.0005584612465551753,0.1197130066079149,0.24054293570894014,high,matched
G-F-1-2,F,1,Sweden,Tunisia,G-F-1-2,fifwc-swe-tun-2026-06-14,same,fixture_id,0.4091486194825983,0.2596148311436773,0.3312365493737245,0.5024875621890547,0.2835820895522388,0.2139303482587064,0.09333894270645637,0.02396725840856151,-0.11730620111501808,0.23461240223003596,high,matched
G-C-1-2,C,1,Haiti,Scotland,G-C-1-2,fifwc-hai-sco-2026-06-13,same,fixture_id,0.2368251308291985,0.2425083032472587,0.5206665659235428,0.1472081218274112,0.2182741116751269,0.6345177664974619,-0.08961700900178732,-0.024234191572131802,0.11385120057391918,0.2277024011478383,high,matched
G-J-1-1,J,1,Argentina,Algeria,G-J-1-1,fifwc-arg-alg-2026-06-16,same,fixture_id,0.599368766564091,0.2203639622550882,0.1802672711808207,0.691542288557214,0.2039800995024876,0.1044776119402985,0.09217352199312301,-0.016383862752600592,-0.0757896592405222,0.1843470439862458,high,matched
G-L-1-2,L,1,Ghana,Panama,G-L-1-2,fifwc-gha-pan-2026-06-17,same,fixture_id,0.4024585384685021,0.260037363368895,0.337504098162603,0.4626865671641791,0.2736318407960199,0.263681592039801,0.060228028695677005,0.013594477427124885,-0.073822506122802,0.1476450122456039,high,matched
G-F-1-1,F,1,Netherlands,Japan,G-F-1-1,fifwc-nld-jpn-2026-06-14,same,fixture_id,0.4052424442713536,0.2598705727593992,0.3348869829692472,0.4673366834170854,0.2663316582914573,0.2663316582914573,0.06209423914573181,0.006461085532058097,-0.06855532467778991,0.13711064935557982,high,matched
