fixture_id,group,round,home,away,market_slug,home_prob_raw,draw_prob_raw,away_prob_raw,home_prob_norm,draw_prob_norm,away_prob_norm,home_bid,home_ask,draw_bid,draw_ask,away_bid,away_ask,volume,liquidity,confidence
G-F-2-1,F,2,Netherlands,Sweden,fifwc-nld-swe-2026-06-20,0.595,0.235,0.175,0.592039800995025,0.2338308457711443,0.1741293532338308,0.59,0.6,0.23,0.24,0.17,0.18,6421.299914000012,62994.1295,high
G-E-2-1,E,2,Germany,Ivory Coast,fifwc-ger-civ-2026-06-20,0.625,0.205,0.175,0.6218905472636816,0.2039800995024876,0.1741293532338308,0.62,0.63,0.2,0.21,0.17,0.18,34323.031584000106,86104.8482,high
G-E-2-2,E,2,Ecuador,Curaçao,fifwc-ecu-kor-2026-06-20,0.805,0.125,0.07,0.805,0.125,0.07,0.8,0.81,0.12,0.13,0.067,0.073,58968.58659699998,59137.61493,high
G-F-2-2,F,2,Tunisia,Japan,fifwc-tun-jpn-2026-06-21,0.175,0.265,0.565,0.1741293532338308,0.263681592039801,0.5621890547263682,0.17,0.18,0.26,0.27,0.56,0.57,7278.168320000005,81382.5755,high
G-G-2-1,G,2,Belgium,Iran,fifwc-bel-irn-2026-06-21,0.695,0.195,0.105,0.6984924623115577,0.1959798994974874,0.1055276381909547,0.69,0.7,0.19,0.2,0.1,0.11,18032.242224,48942.7898,high
G-H-2-2,H,2,Uruguay,Cape Verde,fifwc-ury-cvi-2026-06-21,0.685,0.205,0.1149999999999999,0.681592039800995,0.2039800995024875,0.1144278606965173,0.68,0.69,0.2,0.21,0.11,0.12,8102.126620999934,58736.8153,high
G-H-3-2,H,3,Uruguay,Spain,fifwc-ury-esp-2026-06-26,0.175,0.245,0.595,0.1724137931034483,0.2413793103448276,0.5862068965517242,0.17,0.18,0.24,0.25,0.59,0.6,5003.997201000007,50287.1547,high
G-G-2-2,G,2,New Zealand,Egypt,fifwc-nzl-egy-2026-06-21,0.195,0.255,0.555,0.1940298507462686,0.253731343283582,0.5522388059701493,0.19,0.2,0.25,0.26,0.55,0.56,7431.730313999998,71159.5508,high
G-J-2-1,J,2,Argentina,Austria,fifwc-arg-aut-2026-06-22,0.605,0.235,0.165,0.6019900497512438,0.2338308457711443,0.1641791044776119,0.6,0.61,0.23,0.24,0.16,0.17,12009.09112199991,74879.796,high
G-I-2-1,I,2,France,Iraq,fifwc-fra-irq-2026-06-22,0.865,0.095,0.0375,0.8671679197994988,0.0952380952380952,0.037593984962406,0.86,0.87,0.09,0.1,0.036,0.039,19161.021868,51586.83133,high
G-I-2-2,I,2,Norway,Senegal,fifwc-nor-sen-2026-06-22,0.445,0.265,0.285,0.4472361809045225,0.2663316582914573,0.2864321608040201,0.44,0.45,0.26,0.27,0.28,0.29,18511.726028,73090.9712,high
G-J-2-2,J,2,Jordan,Algeria,fifwc-jor-alg-2026-06-22,0.135,0.205,0.665,0.1343283582089552,0.2039800995024875,0.6616915422885572,0.13,0.14,0.2,0.21,0.66,0.67,38448.67288100001,90765.0462,high
G-K-2-1,K,2,Portugal,Uzbekistan,fifwc-prt-uzb-2026-06-23,0.785,0.145,0.075,0.781094527363184,0.1442786069651741,0.0746268656716418,0.78,0.79,0.14,0.15,0.07,0.08,13222.825442000008,53168.4038,high
G-L-2-1,L,2,England,Ghana,fifwc-eng-gha-2026-06-23,0.735,0.165,0.105,0.7313432835820897,0.1641791044776119,0.1044776119402985,0.73,0.74,0.16,0.17,0.1,0.11,27482.625585000005,56018.0577,high
G-L-2-2,L,2,Panama,Croatia,fifwc-pan-hrv-2026-06-23,0.135,0.235,0.635,0.1343283582089552,0.2338308457711443,0.6318407960199006,0.13,0.14,0.23,0.24,0.63,0.64,8626.333965000069,61841.1051,high
G-B-3-1,B,3,Switzerland,Canada,fifwc-che-can-2026-06-24,0.445,0.295,0.275,0.438423645320197,0.2906403940886699,0.270935960591133,0.44,0.45,0.29,0.3,0.27,0.28,2340.303512,53881.5018,high
G-B-3-2,B,3,Bosnia,Qatar,fifwc-bih-qat-2026-06-24,0.615,0.235,0.15,0.615,0.235,0.15,0.61,0.62,0.23,0.24,0.14,0.16,8239.732046999989,63458.2061,high
G-C-3-2,C,3,Morocco,Haiti,fifwc-mar-hai-2026-06-24,0.745,0.175,0.095,0.7339901477832513,0.1724137931034483,0.0935960591133005,0.74,0.75,0.17,0.18,0.09,0.1,10788.786747000004,54811.924,high
G-A-3-1,A,3,Czechia,Mexico,fifwc-cze-mex-2026-06-24,0.215,0.275,0.525,0.2118226600985221,0.270935960591133,0.5172413793103448,0.21,0.22,0.27,0.28,0.52,0.53,7202.108813000007,73769.1518,high
G-A-3-2,A,3,South Africa,South Korea,fifwc-rsa-kr-2026-06-24,0.235,0.275,0.495,0.2338308457711443,0.2736318407960199,0.4925373134328358,0.23,0.24,0.27,0.28,0.49,0.5,2716.277038999999,56706.9111,high
G-E-3-1,E,3,Curaçao,Ivory Coast,fifwc-kor-civ-2026-06-25,0.075,0.145,0.785,0.0746268656716418,0.1442786069651741,0.781094527363184,0.07,0.08,0.14,0.15,0.78,0.79,4249.057411,50763.0658,high
G-E-3-2,E,3,Ecuador,Germany,fifwc-ecu-ger-2026-06-25,0.195,0.245,0.575,0.1921182266009852,0.2413793103448276,0.5665024630541872,0.19,0.2,0.24,0.25,0.57,0.58,9686.27434999995,66266.3925,high
G-F-3-1,F,3,Japan,Sweden,fifwc-jpn-swe-2026-06-25,0.4649999999999999,0.285,0.265,0.4581280788177339,0.2807881773399014,0.2610837438423645,0.46,0.47,0.28,0.29,0.26,0.27,3531.525396,61736.1223,high
G-F-3-2,F,3,Tunisia,Netherlands,fifwc-tun-nld-2026-06-25,0.135,0.225,0.665,0.1317073170731707,0.2195121951219512,0.648780487804878,0.13,0.14,0.22,0.23,0.66,0.67,9175.571880999838,57033.5249,high
G-D-3-1,D,3,Türkiye,USA,fifwc-tur-usa-2026-06-25,0.365,0.275,0.385,0.3560975609756098,0.2682926829268293,0.375609756097561,0.36,0.37,0.27,0.28,0.38,0.39,8342.954162,93461.5629,high
G-D-3-2,D,3,Paraguay,Australia,fifwc-par-aus-2026-06-25,0.445,0.305,0.265,0.438423645320197,0.3004926108374384,0.2610837438423645,0.44,0.45,0.3,0.31,0.26,0.27,1514.7418589999995,65243.9566,high
G-I-3-1,I,3,Norway,France,fifwc-nor-fra-2026-06-26,0.22,0.265,0.535,0.2156862745098039,0.2598039215686274,0.5245098039215687,0.21,0.23,0.26,0.27,0.53,0.54,10111.906107000012,55403.6674,high
G-I-3-2,I,3,Senegal,Iraq,fifwc-sen-irq-2026-06-26,0.685,0.205,0.1149999999999999,0.681592039800995,0.2039800995024875,0.1144278606965173,0.68,0.69,0.2,0.21,0.11,0.12,5269.7737389999975,45335.0016,high
G-G-3-1,G,3,Egypt,Iran,fifwc-egy-irn-2026-06-26,0.445,0.315,0.265,0.4341463414634147,0.3073170731707317,0.2585365853658537,0.44,0.45,0.31,0.32,0.26,0.27,3875.061359,48288.6822,high
G-G-3-2,G,3,New Zealand,Belgium,fifwc-nzl-bel-2026-06-26,0.0849999999999999,0.155,0.755,0.0854271356783919,0.1557788944723618,0.7587939698492462,0.08,0.09,0.15,0.16,0.75,0.76,8274.010369999998,57567.8555,high
G-L-3-1,L,3,Panama,England,fifwc-pan-eng-2026-06-27,0.095,0.155,0.755,0.0945273631840796,0.154228855721393,0.7512437810945275,0.09,0.1,0.15,0.16,0.75,0.76,16655.301468999998,55221.6352,high
G-L-3-2,L,3,Croatia,Ghana,fifwc-hrv-gha-2026-06-27,0.595,0.255,0.165,0.5862068965517242,0.2512315270935961,0.1625615763546798,0.59,0.6,0.25,0.26,0.16,0.17,2263.691314,51464.327,high
G-K-3-2,K,3,DR Congo,Uzbekistan,fifwc-cdr-uzb-2026-06-27,0.425,0.285,0.31,0.4166666666666666,0.2794117647058823,0.3039215686274509,0.42,0.43,0.28,0.29,0.3,0.32,1916.9789729999995,46175.7035,high
G-J-3-1,J,3,Algeria,Austria,fifwc-alg-aut-2026-06-27,0.265,0.305,0.435,0.263681592039801,0.3034825870646766,0.4328358208955224,0.26,0.27,0.3,0.31,0.43,0.44,8089.440596,67602.9907,high
G-J-3-2,J,3,Jordan,Argentina,fifwc-jor-arg-2026-06-27,0.0655,0.125,0.825,0.0645002461841457,0.1230920728705071,0.8124076809453472,0.065,0.066,0.12,0.13,0.82,0.83,9785.464435,45609.24022,high
