event_slug,game_id,title,start_time,event_date,team_a,team_b,series_slug,tags,market_count,market_types,fixture_id,group,match_round
fifwc-alg-aut-2026-06-27,90086973,Algeria vs. Austria,2026-06-28T02:00:00Z,2026-06-27,Algeria,Austria,soccer-fifwc,games;soccer;sports;fifa-world-cup,3,match_binary_away;match_binary_draw;match_binary_home,G-J-3-1,J,3
fifwc-arg-alg-2026-06-16,90086925,Argentina vs. Algeria,2026-06-17T01:00:00Z,2026-06-16,Argentina,Algeria,soccer-fifwc,sports;fifa-world-cup;games;soccer,3,match_binary_away;match_binary_draw;match_binary_home,G-J-1-1,J,1
fifwc-arg-aut-2026-06-22,90086949,Argentina vs. Austria,2026-06-22T17:00:00Z,2026-06-22,Argentina,Austria,soccer-fifwc,sports;games;soccer;fifa-world-cup,3,match_binary_away;match_binary_draw;match_binary_home,G-J-2-1,J,2
fifwc-aus-tur-2026-06-14,90086914,Australia vs. Türkiye,2026-06-14T04:00:00Z,2026-06-14,Australia,Türkiye,soccer-fifwc,games;fifa-world-cup;sports;soccer,3,match_binary_away;match_binary_draw;match_binary_home,G-D-1-2,D,1
fifwc-aut-jor-2026-06-17,90086926,Austria vs. Jordan,2026-06-17T04:00:00Z,2026-06-17,Austria,Jordan,soccer-fifwc,sports;games;soccer;fifa-world-cup,3,match_binary_away;match_binary_draw;match_binary_home,G-J-1-2,J,1
fifwc-bel-egy-2026-06-15,90086920,Belgium vs. Egypt,2026-06-15T19:00:00Z,2026-06-15,Belgium,Egypt,soccer-fifwc,soccer;fifa-world-cup;sports;games,3,match_binary_away;match_binary_draw;match_binary_home,G-G-1-1,G,1
fifwc-bel-irn-2026-06-21,90086943,Belgium vs. IR Iran,2026-06-21T19:00:00Z,2026-06-21,Belgium,IR Iran,soccer-fifwc,soccer;fifa-world-cup;games;sports,3,match_binary_away;match_binary_draw;match_binary_home,G-G-2-1,G,2
fifwc-bih-qat-2026-06-24,90086958,Bosnia-Herzegovina vs. Qatar,2026-06-24T19:00:00Z,2026-06-24,Bosnia-Herzegovina,Qatar,soccer-fifwc,soccer;fifa-world-cup;sports;games,3,match_binary_away;match_binary_draw;match_binary_home,G-B-3-2,B,3
fifwc-bra-hai-2026-06-19,90086935,Brazil vs. Haiti,2026-06-20T00:30:00Z,2026-06-19,Brazil,Haiti,soccer-fifwc,fifa-world-cup;sports;games;soccer,3,match_binary_away;match_binary_draw;match_binary_home,G-C-2-2,C,2
fifwc-bra-mar-2026-06-13,90086913,Brazil vs. Morocco,2026-06-13T22:00:00Z,2026-06-13,Brazil,Morocco,soccer-fifwc,soccer;fifa-world-cup;sports;games,3,match_binary_away;match_binary_draw;match_binary_home,G-C-1-1,C,1
fifwc-can-bih-2026-06-12,90086909,Canada vs. Bosnia-Herzegovina,2026-06-12T19:00:00Z,2026-06-12,Canada,Bosnia-Herzegovina,soccer-fifwc,fifa-world-cup;games;soccer;sports,3,match_binary_away;match_binary_draw;match_binary_home,G-B-1-1,B,1
fifwc-can-qat-2026-06-18,90086934,Canada vs. Qatar,2026-06-18T22:00:00Z,2026-06-18,Canada,Qatar,soccer-fifwc,fifa-world-cup;sports;games;soccer,3,match_binary_away;match_binary_draw;match_binary_home,G-B-2-2,B,2
fifwc-cdr-uzb-2026-06-27,90086976,DR Congo vs. Uzbekistan,2026-06-27T23:30:00Z,2026-06-27,DR Congo,Uzbekistan,soccer-fifwc,soccer;sports;games;fifa-world-cup,3,match_binary_away;match_binary_draw;match_binary_home,G-K-3-2,K,3
fifwc-che-bih-2026-06-18,90086933,Switzerland vs. Bosnia-Herzegovina,2026-06-18T19:00:00Z,2026-06-18,Switzerland,Bosnia-Herzegovina,soccer-fifwc,games;soccer;sports;fifa-world-cup,3,match_binary_away;match_binary_draw;match_binary_home,G-B-2-1,B,2
fifwc-che-can-2026-06-24,90086957,Switzerland vs. Canada,2026-06-24T19:00:00Z,2026-06-24,Switzerland,Canada,soccer-fifwc,sports;games;soccer;fifa-world-cup,3,match_binary_away;match_binary_draw;match_binary_home,G-B-3-1,B,3
fifwc-civ-ecu-2026-06-14,90086915,Côte d'Ivoire vs. Ecuador,2026-06-14T23:00:00Z,2026-06-14,Côte d'Ivoire,Ecuador,soccer-fifwc,sports;games;soccer;fifa-world-cup,3,match_binary_away;match_binary_draw;match_binary_home,G-E-1-2,E,1
fifwc-col-cdr-2026-06-23,90086951,Colombia vs. DR Congo,2026-06-24T02:00:00Z,2026-06-23,Colombia,DR Congo,soccer-fifwc,sports;games;fifa-world-cup;soccer,3,match_binary_away;match_binary_draw;match_binary_home,G-K-2-2,K,2
fifwc-col-prt-2026-06-27,90086975,Colombia vs. Portugal,2026-06-27T23:30:00Z,2026-06-27,Colombia,Portugal,soccer-fifwc,games;sports;soccer;fifa-world-cup,3,match_binary_away;match_binary_draw;match_binary_home,G-K-3-1,K,3
fifwc-cvi-ksa-2026-06-26,90086969,Cabo Verde vs. Saudi Arabia,2026-06-27T00:00:00Z,2026-06-26,Cabo Verde,Saudi Arabia,soccer-fifwc,sports;games;soccer;fifa-world-cup,3,match_binary_away;match_binary_draw;match_binary_home,G-H-3-1,H,3
fifwc-cze-mex-2026-06-24,90086955,Czechia vs. Mexico,2026-06-25T01:00:00Z,2026-06-24,Czechia,Mexico,soccer-fifwc,sports;fifa-world-cup;games;soccer,3,match_binary_away;match_binary_draw;match_binary_home,G-A-3-1,A,3
fifwc-cze-rsa-2026-06-18,90086931,Czechia vs. South Africa,2026-06-18T16:00:00Z,2026-06-18,Czechia,South Africa,soccer-fifwc,sports;soccer;fifa-world-cup;games,3,match_binary_away;match_binary_draw;match_binary_home,G-A-2-1,A,2
fifwc-ecu-ger-2026-06-25,90086964,Ecuador vs. Germany,2026-06-25T20:00:00Z,2026-06-25,Ecuador,Germany,soccer-fifwc,sports;soccer;games;fifa-world-cup,3,match_binary_away;match_binary_draw;match_binary_home,G-E-3-2,E,3
fifwc-ecu-kor-2026-06-20,90086940,Ecuador vs. Curaçao,2026-06-21T00:00:00Z,2026-06-20,Ecuador,Curaçao,soccer-fifwc,sports;games;soccer;fifa-world-cup,3,match_binary_away;match_binary_draw;match_binary_home,G-E-2-2,E,2
fifwc-egy-irn-2026-06-26,90086967,Egypt vs. IR Iran,2026-06-27T03:00:00Z,2026-06-26,Egypt,IR Iran,soccer-fifwc,games;fifa-world-cup;sports;soccer,3,match_binary_away;match_binary_draw;match_binary_home,G-G-3-1,G,3
fifwc-eng-gha-2026-06-23,90086953,England vs. Ghana,2026-06-23T20:00:00Z,2026-06-23,England,Ghana,soccer-fifwc,sports;games;fifa-world-cup;soccer,3,match_binary_away;match_binary_draw;match_binary_home,G-L-2-1,L,2
fifwc-eng-hrv-2026-06-17,90086930,England vs. Croatia,2026-06-17T20:00:00Z,2026-06-17,England,Croatia,soccer-fifwc,sports;soccer;fifa-world-cup;games,3,match_binary_away;match_binary_draw;match_binary_home,G-L-1-1,L,1
