fixture_id,group,round,home,away,market_fixture_id,market_slug,orientation,join_strategy,model_home,model_draw,model_away,market_home,market_draw,market_away,delta_home,delta_draw,delta_away,abs_delta_total,confidence,comparison_status
G-B-1-2,B,1,Qatar,Switzerland,G-B-1-2,fifwc-qat-che-2026-06-13,same,fixture_id,0.2586490119652995,0.2484288437590119,0.4929221442756885,0.0651417205370462,0.1342615614122327,0.8005967180507211,-0.1935072914282533,-0.1141672823467792,0.3076745737750326,0.6153491475500651,high,matched
G-I-1-2,I,1,Iraq,Norway,G-I-1-2,fifwc-irq-nor-2026-06-16,same,fixture_id,0.235937589425234,0.2422392304694468,0.521823180105319,0.06,0.135,0.805,-0.175937589425234,-0.10723923046944678,0.283176819894681,0.5663536397893618,high,matched
G-E-1-1,E,1,Germany,Curaçao,G-E-1-1,fifwc-ger-kor-2026-06-14,same,fixture_id,0.652928414770817,0.201108616483147,0.1459629687460359,0.9360958562156764,0.0424363454817773,0.0214677983025461,0.2831674414448594,-0.1586722710013697,-0.1244951704434898,0.5663348828897189,high,matched
G-J-1-2,J,1,Austria,Jordan,G-J-1-2,fifwc-aut-jor-2026-06-17,same,fixture_id,0.4704555320287342,0.2524481643444181,0.2770963036268477,0.7386934673366834,0.1658291457286432,0.0954773869346733,0.2682379353079492,-0.08661901861577487,-0.1816189166921744,0.5364758706158985,high,matched
G-K-1-1,K,1,Portugal,DR Congo,G-K-1-1,fifwc-prt-cdr-2026-06-17,same,fixture_id,0.5593460951563368,0.2325791699368918,0.2080747349067714,0.7611940298507462,0.1641791044776119,0.0746268656716418,0.20184793469440943,-0.0684000654592799,-0.13344786923512958,0.4036958693888189,high,matched
G-H-1-1,H,1,Spain,Cape Verde,G-H-1-1,fifwc-esp-cvi-2026-06-15,same,fixture_id,0.7128538550001746,0.1758332400415012,0.1113129049583242,0.9000497265042268,0.0666335156638488,0.0333167578319244,0.18719587150405215,-0.1091997243776524,-0.0779961471263998,0.37439174300810435,high,matched
G-I-1-1,I,1,France,Senegal,G-I-1-1,fifwc-fra-sen-2026-06-16,same,fixture_id,0.4779322995356528,0.2511896340187661,0.270878066445581,0.6616915422885572,0.2139303482587064,0.1243781094527363,0.1837592427529044,-0.037259285760059685,-0.14649995699284468,0.3675184855058088,high,matched
G-A-1-1,A,1,Mexico,South Africa,G-A-1-1,fifwc-mex-rsa-2026-06-11,same,fixture_id,0.5143050622359694,0.2439567878995661,0.2417381498644644,0.691542288557214,0.2039800995024876,0.1044776119402985,0.1772372263212446,-0.03997668839707849,-0.1372605379241659,0.354474452642489,high,matched
G-H-1-2,H,1,Saudi Arabia,Uruguay,G-H-1-2,fifwc-ksa-ury-2026-06-15,same,fixture_id,0.253560223463347,0.2471648944780082,0.4992748820586447,0.1144278606965173,0.2139303482587064,0.6716417910447761,-0.13913236276682972,-0.0332345462193018,0.17236690898613138,0.3447338179722629,high,matched
G-G-1-1,G,1,Belgium,Egypt,G-G-1-1,fifwc-bel-egy-2026-06-15,same,fixture_id,0.4327808892244901,0.2575397492706531,0.3096793615048566,0.582089552238806,0.2437810945273632,0.1741293532338308,0.1493086630143159,-0.013758654743289883,-0.13555000827102578,0.29861732602863156,high,matched
