fixture_id,group,round,home,away,market_slug,home_prob_raw,draw_prob_raw,away_prob_raw,home_prob_norm,draw_prob_norm,away_prob_norm,home_bid,home_ask,draw_bid,draw_ask,away_bid,away_ask,volume,liquidity,confidence
G-E-1-1,E,1,Germany,Curaçao,fifwc-ger-kor-2026-06-14,0.9375,0.0424999999999999,0.0215,0.9360958562156764,0.0424363454817773,0.0214677983025461,0.937,0.938,0.042,0.043,0.021,0.022,551231.5502519994,252853.11795,high
G-L-1-2,L,1,Ghana,Panama,fifwc-gha-pan-2026-06-17,0.4649999999999999,0.275,0.265,0.4626865671641791,0.2736318407960199,0.263681592039801,0.46,0.47,0.27,0.28,0.26,0.27,27480.335119000025,139933.484,high
G-C-1-2,C,1,Haiti,Scotland,fifwc-hai-sco-2026-06-13,0.155,0.225,0.625,0.154228855721393,0.2238805970149254,0.6218905472636816,0.15,0.16,0.22,0.23,0.62,0.63,162006.00782600074,437372.2124,high
G-G-1-2,G,1,Iran,New Zealand,fifwc-irn-nzl-2026-06-15,0.515,0.285,0.205,0.5124378109452736,0.2835820895522388,0.2039800995024875,0.51,0.52,0.28,0.29,0.2,0.21,88977.25046099987,219185.1003,high
G-I-1-2,I,1,Iraq,Norway,fifwc-irq-nor-2026-06-16,0.06,0.135,0.805,0.06,0.135,0.805,0.05,0.07,0.13,0.14,0.8,0.81,44830.63945899998,202749.2693,high
G-A-1-2,A,1,South Korea,Czechia,fifwc-kr-cze-2026-06-11,0.365,0.315,0.325,0.36318407960199,0.3134328358208955,0.3233830845771144,0.36,0.37,0.31,0.32,0.32,0.33,539486.5624559983,1336093.2153,high
G-H-1-2,H,1,Saudi Arabia,Uruguay,fifwc-ksa-ury-2026-06-15,0.1149999999999999,0.215,0.675,0.1144278606965173,0.2139303482587064,0.6716417910447761,0.11,0.12,0.21,0.22,0.67,0.68,58140.11458900031,221236.7974,high
G-A-1-1,A,1,Mexico,South Africa,fifwc-mex-rsa-2026-06-11,0.695,0.205,0.105,0.691542288557214,0.2039800995024876,0.1044776119402985,0.69,0.7,0.2,0.21,0.1,0.11,841119.9257889963,2585988.8454,high
G-F-1-1,F,1,Netherlands,Japan,fifwc-nld-jpn-2026-06-14,0.4649999999999999,0.265,0.265,0.4673366834170854,0.2663316582914573,0.2663316582914573,0.46,0.47,0.26,0.27,0.26,0.27,338459.899625001,589408.0319,high
G-K-1-1,K,1,Portugal,DR Congo,fifwc-prt-cdr-2026-06-17,0.765,0.165,0.075,0.7611940298507462,0.1641791044776119,0.0746268656716418,0.76,0.77,0.16,0.17,0.07,0.08,52270.94104099996,164010.7107,high
G-B-1-2,B,1,Qatar,Switzerland,fifwc-qat-che-2026-06-13,0.0655,0.135,0.805,0.0651417205370462,0.1342615614122327,0.8005967180507211,0.064,0.067,0.13,0.14,0.8,0.81,189195.59332499997,1241808.56354,high
G-F-1-2,F,1,Sweden,Tunisia,fifwc-swe-tun-2026-06-14,0.505,0.285,0.215,0.5024875621890547,0.2835820895522388,0.2139303482587064,0.5,0.51,0.28,0.29,0.21,0.22,33529.58106000003,318384.9352,high
G-D-1-1,D,1,USA,Paraguay,fifwc-usa-par-2026-06-12,0.495,0.285,0.235,0.4876847290640393,0.2807881773399014,0.231527093596059,0.49,0.5,0.28,0.29,0.23,0.24,452978.41487700056,1277644.9058,high
G-K-1-2,K,1,Uzbekistan,Colombia,fifwc-uzb-col-2026-06-17,0.105,0.205,0.695,0.1044776119402985,0.2039800995024876,0.691542288557214,0.1,0.11,0.2,0.21,0.69,0.7,25373.86525400001,134116.4425,high
