fixture_id,group,round,home,away,market_slug,home_prob_raw,draw_prob_raw,away_prob_raw,home_prob_norm,draw_prob_norm,away_prob_norm,home_bid,home_ask,draw_bid,draw_ask,away_bid,away_ask,volume,liquidity,confidence
G-J-1-1,J,1,Argentina,Algeria,fifwc-arg-alg-2026-06-16,0.695,0.205,0.105,0.691542288557214,0.2039800995024876,0.1044776119402985,0.69,0.7,0.2,0.21,0.1,0.11,78981.19277500002,193865.2644,high
G-D-1-2,D,1,Australia,Türkiye,fifwc-aus-tur-2026-06-14,0.175,0.255,0.565,0.1758793969849246,0.2562814070351759,0.5678391959798995,0.17,0.18,0.25,0.26,0.56,0.57,83245.960599,459694.9076,high
G-J-1-2,J,1,Austria,Jordan,fifwc-aut-jor-2026-06-17,0.735,0.165,0.095,0.7386934673366834,0.1658291457286432,0.0954773869346733,0.73,0.74,0.16,0.17,0.09,0.1,57769.38610400006,163735.0433,high
G-G-1-1,G,1,Belgium,Egypt,fifwc-bel-egy-2026-06-15,0.585,0.245,0.175,0.582089552238806,0.2437810945273632,0.1741293532338308,0.58,0.59,0.24,0.25,0.17,0.18,27667.443503999973,165697.3385,high
G-C-1-1,C,1,Brazil,Morocco,fifwc-bra-mar-2026-06-13,0.585,0.245,0.175,0.582089552238806,0.2437810945273632,0.1741293532338308,0.58,0.59,0.24,0.25,0.17,0.18,226335.2091560008,515982.7141,high
G-B-1-1,B,1,Canada,Bosnia,fifwc-can-bih-2026-06-12,0.525,0.265,0.205,0.5276381909547738,0.2663316582914573,0.2060301507537688,0.52,0.53,0.26,0.27,0.2,0.21,161392.37827000013,542488.3814,high
G-E-1-2,E,1,Ivory Coast,Ecuador,fifwc-civ-ecu-2026-06-14,0.265,0.335,0.395,0.2663316582914573,0.3366834170854271,0.3969849246231156,0.26,0.27,0.33,0.34,0.39,0.4,50105.19949700002,340538.6085,high
G-L-1-1,L,1,England,Croatia,fifwc-eng-hrv-2026-06-17,0.565,0.255,0.195,0.5566502463054187,0.2512315270935961,0.1921182266009852,0.56,0.57,0.25,0.26,0.19,0.2,51631.8291630002,150626.0378,high
G-H-1-1,H,1,Spain,Cape Verde,fifwc-esp-cvi-2026-06-15,0.905,0.067,0.0335,0.9000497265042268,0.0666335156638488,0.0333167578319244,0.9,0.91,0.066,0.068,0.032,0.035,174489.5062699999,200651.84885,high
G-I-1-1,I,1,France,Senegal,fifwc-fra-sen-2026-06-16,0.665,0.215,0.125,0.6616915422885572,0.2139303482587064,0.1243781094527363,0.66,0.67,0.21,0.22,0.12,0.13,83855.41823900194,226235.3267,high
