match_id,group,team_a,team_b,old_recommended_score,new_recommended_score,score_changed,old_expected_pool_points,new_expected_pool_points,delta_expected_pool_points,old_p_win_a,new_p_win_a,delta_p_win_a,old_p_draw,new_p_draw,delta_p_draw,old_p_win_b,new_p_win_b,delta_p_win_b
G-A-1-1,A,Mexico,South Africa,1-0,1-0,False,0.6239131075103976,0.7744211069505346,0.15050799944013693,0.5143050622359694,0.6383711206608407,0.12406605842487128,0.2439567878995661,0.2159731060216111,-0.027983681877954997,0.2417381498644644,0.1456557733175483,-0.09608237654691609
G-A-1-2,A,South Korea,Czechia,1-0,1-0,False,0.5051990861923044,0.5051990861923044,0.0,0.4063574690181176,0.4063574690181176,0.0,0.2598001485138529,0.2598001485138529,0.0,0.3338423824680295,0.3338423824680295,0.0
G-B-1-1,B,Canada,Bosnia,1-0,1-0,False,0.4881847869331087,0.6112644895950012,0.12307970266189255,0.3913772912813197,0.490050003304794,0.09867271202347427,0.2605717225245885,0.2627486311852372,0.0021769086606487353,0.3480509861940918,0.2472013655099688,-0.10084962068412301
G-D-1-1,D,USA,Paraguay,1-0,1-0,False,0.5620598749708282,0.5620598749708282,0.0,0.4572662757944513,0.4572662757944513,0.0,0.2544713532138959,0.2544713532138959,0.0,0.2882623709916527,0.2882623709916527,0.0
G-B-1-2,B,Qatar,Switzerland,0-1,0-1,False,0.600963970978768,0.863550180985203,0.262586210006435,0.2586490119652995,0.1220055797225203,-0.1366434322427792,0.2484288437590119,0.1696948162696975,-0.07873402748931438,0.4929221442756885,0.708299604007782,0.21537745973209355
G-C-1-1,C,Brazil,Morocco,1-0,1-0,False,0.5532257897144024,0.5532257897144024,0.0,0.4492669454485809,0.4492669454485809,0.0,0.2555735646700743,0.2555735646700743,0.0,0.2951594898813447,0.2951594898813447,0.0
G-C-1-2,C,Haiti,Scotland,0-1,0-1,False,0.630683551157148,0.7272203144485998,0.09653676329145178,0.2368251308291985,0.1740932245279474,-0.06273190630125111,0.2425083032472587,0.2255443691467664,-0.016963934100492295,0.5206665659235428,0.6003624063252861,0.07969584040174338
G-D-1-2,D,Australia,Türkiye,0-1,0-1,False,0.551962888541167,0.6551797351403106,0.10321684659914354,0.2961508648393947,0.2119608373412656,-0.08419002749812907,0.2557229457886207,0.2561138686612093,0.0003909228725885727,0.4481261893719846,0.5319252939975251,0.08379910462554047
G-E-1-1,E,Germany,Curaçao,2-0,2-0,False,0.7681303639210102,1.000178698389065,0.23204833446805484,0.652928414770817,0.8501656630154923,0.19723724824467537,0.201108616483147,0.0903425550346748,-0.11076606144847222,0.1459629687460359,0.0594917819498327,-0.08647118679620319
G-F-1-1,F,Netherlands,Japan,1-0,1-0,False,0.5039370010547193,0.5579890781930592,0.05405207713833993,0.4052424442713536,0.4487084116733659,0.04346596740201231,0.2598705727593992,0.2643933326318398,0.004522759872440607,0.3348869829692472,0.2868982556947942,-0.04798872727445297
G-E-1-2,E,Ivory Coast,Ecuador,0-1,0-1,False,0.5922202047121686,0.5922202047121686,0.0,0.2651991448200445,0.2651991448200445,0.0,0.2499554217390497,0.2499554217390497,0.0,0.4848454334409058,0.4848454334409058,0.0
G-F-1-2,F,Sweden,Tunisia,1-0,1-0,False,0.5083552775767988,0.589535158537025,0.08117988096022621,0.4091486194825983,0.4744858793771178,0.0653372598945195,0.2596148311436773,0.2763919120296704,0.016777080885993112,0.3312365493737245,0.2491222085932118,-0.08211434078051269
G-H-1-1,H,Spain,Cape Verde,2-0,2-0,False,0.8357266097925298,0.9934390226113016,0.1577124128187718,0.7128538550001746,0.8473561565000524,0.13450230149987774,0.1758332400415012,0.0985999720124503,-0.0772332680290509,0.1113129049583242,0.0540438714874972,-0.057269033470827
G-G-1-1,G,Belgium,Egypt,1-0,1-0,False,0.5348999602332307,0.6640779893427984,0.12917802910956766,0.4327808892244901,0.5372969533345112,0.10451606411002112,0.2575397492706531,0.2479086909503502,-0.009631058320302893,0.3096793615048566,0.2147943557151385,-0.09488500578971809
G-H-1-2,H,Saudi Arabia,Uruguay,0-1,0-1,False,0.6078125271266086,0.7574567516790445,0.14964422455243587,0.253560223463347,0.1553784118665903,-0.09818181159675671,0.2471648944780082,0.2224253304123679,-0.024739564065640318,0.4992748820586447,0.6221962577210417,0.12292137566239703
G-G-1-2,G,Iran,New Zealand,1-0,1-0,False,0.6288396940778376,0.6190496958627426,-0.009789998215094964,0.5189316091975997,0.5108518965523834,-0.008079712645216341,0.2429086310143555,0.2694243134422377,0.026515682427882215,0.2381597597880447,0.2197237900053789,-0.018435969782665818
G-I-1-1,I,France,Senegal,1-0,1-0,False,0.5847038328832019,0.7420726240519054,0.1573687911687035,0.4779322995356528,0.606563769462686,0.12863146992703317,0.2511896340187661,0.2251081339867243,-0.026081500032041793,0.270878066445581,0.1683280965505897,-0.1025499698949913
G-I-1-2,I,Iraq,Norway,0-1,0-1,False,0.6319116643190089,0.8685609886912236,0.23664932437221464,0.235937589425234,0.1160549086683661,-0.1198826807568679,0.2422392304694468,0.1667016198871027,-0.0755376105823441,0.521823180105319,0.717243471444531,0.19542029133921202
G-J-1-1,J,Argentina,Algeria,1-0,1-0,False,0.7121463240193056,0.7888120856512252,0.07666576163191963,0.599368766564091,0.6638902319592771,0.0645214653951861,0.2203639622550882,0.2088952583282677,-0.011468703926820506,0.1802672711808207,0.1272145097124551,-0.0530527614683656
G-J-1-2,J,Austria,Jordan,1-0,1-0,False,0.5765414825430883,0.806649335229213,0.23010785268612466,0.4704555320287342,0.6582220867442987,0.18776655471556453,0.2524481643444181,0.1918148513133757,-0.060633313031042385,0.2770963036268477,0.1499630619423256,-0.12713324168452209
